                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.275,                 2.7165,                 1.2334,                0.19899,                0.41038,                0.31304,                0.22848,                0.99792,                 3.1548,                 1.1276,             0.00036228,             0.00036228,             0.00036228
                      2,                 1.2037,                 1.7102,                 1.1797,                0.70052,                0.41926,                0.53278,                0.36382,                 1.1161,                 2.1372,                 1.2186,             0.00072536,             0.00072536,             0.00072536
                      3,                 1.2314,                 1.5622,                 1.1954,                0.72357,                0.45805,                 0.5521,                0.35368,                 1.2015,                 1.8561,                 1.3119,              0.0010811,              0.0010811,              0.0010811
                      4,                 1.2548,                 1.4881,                 1.2029,                0.61005,                0.52574,                0.56509,                0.37547,                 1.1166,                 1.5348,                 1.2612,               0.001078,               0.001078,               0.001078
                      5,                 1.1814,                 1.3904,                   1.17,                0.73207,                0.54699,                0.61563,                0.41985,                 1.0519,                 1.3576,                 1.1889,               0.001067,               0.001067,               0.001067
                      6,                 1.1606,                 1.3201,                 1.1584,                 0.8185,                0.54557,                0.64047,                0.43404,                 1.0829,                 1.4274,                 1.2117,               0.001056,               0.001056,               0.001056
                      7,                 1.1718,                 1.2738,                 1.1526,                 0.6909,                 0.5199,                0.59443,                0.39737,                 1.0939,                 1.2882,                 1.2192,               0.001045,               0.001045,               0.001045
                      8,                 1.1306,                 1.2146,                 1.1463,                0.63641,                0.64675,                0.63939,                0.43358,                 1.0401,                 1.2343,                 1.1656,               0.001034,               0.001034,               0.001034
                      9,                 1.1117,                 1.1483,                 1.1245,                0.66714,                0.58084,                 0.6583,                0.43222,                 1.1006,                 1.1738,                 1.1867,               0.001023,               0.001023,               0.001023
                     10,                  1.076,                 1.1082,                 1.1167,                0.68443,                0.55926,                0.62664,                0.43697,                 1.0737,                 1.1135,                 1.2284,               0.001012,               0.001012,               0.001012
                     11,                 1.0517,                 1.0676,                 1.1084,                0.65881,                0.64413,                 0.6775,                0.46478,                 1.0237,                 1.0434,                 1.1572,               0.001001,               0.001001,               0.001001
                     12,                 1.0824,                 1.0666,                 1.1155,                0.79115,                0.56755,                0.68323,                0.46437,                 1.0231,                 1.0524,                 1.1656,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.0685,                 1.0301,                 1.1177,                0.68367,                0.68231,                0.70043,                 0.4898,                0.99795,                0.99574,                 1.1534,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.0261,                0.99412,                 1.0942,                0.73124,                0.62814,                0.71269,                0.48243,                 1.0225,                 1.0254,                 1.1586,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.0195,                0.96947,                  1.083,                0.63598,                0.62314,                0.66128,                0.46398,                0.99016,                 1.0471,                 1.1483,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.0359,                0.94729,                 1.0962,                0.77789,                0.59602,                0.65381,                0.45526,                 1.0156,                 1.0168,                 1.1758,             0.00094602,             0.00094602,             0.00094602
                     17,                  1.028,                0.92606,                 1.0768,                0.67911,                0.64264,                0.70301,                 0.4819,                 1.0166,                0.97106,                 1.1947,             0.00093502,             0.00093502,             0.00093502
                     18,                0.98235,                0.87777,                 1.0752,                0.86416,                0.59305,                0.69803,                0.48425,                0.99078,                0.99319,                 1.1446,             0.00092402,             0.00092402,             0.00092402
                     19,                0.97363,                0.87641,                  1.069,                0.73279,                0.64813,                0.71157,                0.49577,                 1.0564,                0.96172,                 1.2011,             0.00091302,             0.00091302,             0.00091302
                     20,                0.98012,                0.86384,                 1.0674,                0.77479,                0.61087,                0.70415,                0.50024,                0.98351,                 1.0066,                  1.126,             0.00090202,             0.00090202,             0.00090202
                     21,                0.94637,                0.84856,                 1.0539,                0.76856,                 0.6771,                0.71619,                0.50695,                0.97762,                0.94336,                 1.1416,             0.00089102,             0.00089102,             0.00089102
                     22,                0.95595,                0.82397,                 1.0502,                0.78236,                0.62355,                0.69306,                0.49689,                  0.964,                0.99175,                 1.1436,             0.00088002,             0.00088002,             0.00088002
                     23,                0.93802,                0.82322,                 1.0545,                0.77324,                0.64056,                0.69827,                0.49793,                0.96372,                0.91177,                 1.1313,             0.00086902,             0.00086902,             0.00086902
                     24,                0.93481,                0.80654,                 1.0405,                0.77304,                0.64387,                0.72189,                0.50351,                 0.9602,                0.90675,                 1.1345,             0.00085803,             0.00085803,             0.00085803
                     25,                0.94734,                0.80288,                 1.0526,                0.91134,                0.58525,                0.68824,                0.47823,                0.98913,                0.93704,                 1.1519,             0.00084703,             0.00084703,             0.00084703
                     26,                0.94312,                0.78361,                 1.0406,                0.74858,                0.67804,                0.74088,                 0.5292,                0.95128,                0.95109,                 1.1116,             0.00083603,             0.00083603,             0.00083603
                     27,                0.93537,                0.76275,                 1.0408,                0.81285,                0.64719,                0.71075,                 0.5102,                0.95508,                0.91412,                 1.1429,             0.00082503,             0.00082503,             0.00082503
