                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.58529,                0.95631,                0.90964,                0.85488,                0.79777,                0.86302,                0.69557,                0.69319,                0.85423,                 1.0459,             0.00087484,             0.00087484,             0.00087484
                     50,                0.65984,                0.66627,                 0.9584,                0.94181,                 0.7418,                0.83496,                0.69297,                0.68376,                0.88487,                 1.0579,             0.00085834,             0.00085834,             0.00085834
                     51,                0.65143,                0.61513,                0.97394,                0.88282,                0.77879,                0.84348,                0.69152,                0.72093,                0.82905,                 1.0476,             0.00084184,             0.00084184,             0.00084184
                     52,                0.64917,                0.62371,                0.97256,                0.86446,                0.79994,                0.87227,                0.70691,                0.70849,                0.80599,                  1.063,             0.00082533,             0.00082533,             0.00082533
                     53,                0.69695,                0.65416,                0.96965,                0.94649,                0.75859,                0.89488,                0.72469,                0.71198,                   0.74,                 1.0371,             0.00080883,             0.00080883,             0.00080883
                     54,                0.66565,                0.63771,                0.97523,                0.92344,                0.78032,                0.88358,                0.72861,                0.69343,                0.78744,                 1.0193,             0.00079233,             0.00079233,             0.00079233
                     55,                0.61593,                0.60558,                0.97506,                0.94339,                0.75859,                0.87185,                0.71076,                0.69564,                0.81615,                  1.039,             0.00077582,             0.00077582,             0.00077582
                     56,                0.64295,                0.58874,                0.97289,                 0.8491,                 0.7899,                0.86884,                0.71483,                0.69257,                 0.7882,                 1.0325,             0.00075932,             0.00075932,             0.00075932
                     57,                0.60688,                0.59175,                0.97264,                 0.8667,                0.78477,                0.87183,                0.70914,                0.69228,                0.73538,                 1.0165,             0.00074282,             0.00074282,             0.00074282
                     58,                0.59509,                0.55348,                0.93951,                0.91133,                0.76061,                0.86471,                 0.7125,                0.67585,                0.74065,                  1.008,             0.00072631,             0.00072631,             0.00072631
                     59,                0.63986,                0.66901,                0.99501,                0.83538,                0.83838,                 0.8602,                0.71114,                0.69989,                0.78133,                 1.0111,             0.00070981,             0.00070981,             0.00070981
                     60,                0.69185,                0.66292,                0.99788,                 0.8209,                0.86246,                0.87798,                0.71909,                0.72639,                0.71328,                 1.0564,             0.00069331,             0.00069331,             0.00069331
                     61,                0.60698,                0.61317,                0.94328,                 0.8499,                0.83156,                0.86206,                0.71673,                0.73231,                0.76791,                 1.0871,              0.0006768,              0.0006768,              0.0006768
                     62,                0.65308,                0.59048,                0.98635,                 0.9164,                 0.7631,                0.87188,                0.71378,                 0.7315,                 0.7493,                 1.0757,              0.0006603,              0.0006603,              0.0006603
                     63,                0.61115,                0.56552,                0.96578,                0.88526,                0.81576,                0.90142,                0.74379,                0.70614,                0.66055,                 1.0511,              0.0006438,              0.0006438,              0.0006438
                     64,                0.62095,                 0.6338,                 0.9888,                0.97316,                0.73838,                0.88561,                0.73374,                0.68577,                0.72489,                 1.0352,             0.00062729,             0.00062729,             0.00062729
                     65,                0.65968,                0.62023,                0.97799,                0.98204,                 0.7367,                 0.8865,                0.73005,                 0.6958,                0.75708,                  1.036,             0.00061079,             0.00061079,             0.00061079
                     66,                0.61093,                0.55936,                0.96296,                0.95241,                0.74949,                0.87884,                0.73233,                0.67087,                0.73133,                 1.0258,             0.00059429,             0.00059429,             0.00059429
                     67,                0.55583,                0.53253,                0.93804,                0.90764,                0.78081,                  0.874,                0.73226,                0.66758,                0.75182,                 1.0031,             0.00057778,             0.00057778,             0.00057778
                     68,                0.58891,                0.54698,                 0.9754,                0.89002,                0.83232,                0.87445,                0.70881,                0.68292,                0.77555,                 1.0212,             0.00056128,             0.00056128,             0.00056128
                     69,                0.59746,                 0.5696,                0.95477,                0.90539,                0.81357,                0.86563,                0.71605,                0.68033,                0.75116,                 1.0197,             0.00054478,             0.00054478,             0.00054478
                     70,                0.54512,                0.50915,                0.92907,                0.88759,                0.78791,                0.88384,                0.72335,                0.68532,                0.72606,                 1.0129,             0.00052827,             0.00052827,             0.00052827
                     71,                0.56017,                0.53105,                 0.9394,                0.92834,                0.75421,                0.88723,                0.71687,                0.69885,                0.68744,                 1.0336,             0.00051177,             0.00051177,             0.00051177
                     72,                0.56259,                0.50256,                 0.9317,                  0.971,                0.76566,                0.90097,                0.73518,                0.69426,                0.66575,                 1.0422,             0.00049527,             0.00049527,             0.00049527
                     73,                0.55502,                0.51253,                0.93166,                0.94059,                0.73837,                0.88291,                0.73125,                0.65594,                0.67538,                 1.0183,             0.00047876,             0.00047876,             0.00047876
                     74,                 0.4942,                 1.2398,                0.86047,                0.90253,                0.80304,                 0.8905,                0.74295,                0.67015,                0.66594,                 1.0238,             0.00046226,             0.00046226,             0.00046226
                     75,                0.56042,                0.55466,                0.93988,                0.91453,                0.79585,                 0.9005,                0.75483,                 0.6606,                 0.6602,                 1.0139,             0.00044576,             0.00044576,             0.00044576
                     76,                0.56086,                0.50766,                0.93412,                0.93564,                0.80341,                 0.9024,                 0.7556,                0.65753,                0.62786,                 1.0253,             0.00042925,             0.00042925,             0.00042925
                     77,                0.55083,                0.48464,                 1.0074,                0.89839,                0.83662,                0.90973,                0.76231,                0.65516,                0.61402,                  1.023,             0.00041275,             0.00041275,             0.00041275
                     78,                0.55708,                0.48966,                 0.9335,                0.88748,                0.85074,                0.91641,                0.77309,                0.62812,                0.60712,                0.99915,             0.00039625,             0.00039625,             0.00039625
                     79,                0.52424,                0.47535,                0.93589,                0.89083,                0.85051,                0.92041,                0.76824,                0.64515,                0.61778,                 1.0094,             0.00037974,             0.00037974,             0.00037974
                     80,                0.57001,                0.49087,                0.96499,                0.91074,                0.88384,                0.92351,                0.76715,                0.67482,                0.61533,                 1.0269,             0.00036324,             0.00036324,             0.00036324
                     81,                0.53642,                0.52772,                0.94839,                0.89717,                0.88012,                0.92071,                0.77208,                0.66193,                0.61193,                 1.0155,             0.00034674,             0.00034674,             0.00034674
                     82,                0.49626,                0.46717,                0.90852,                0.91038,                0.82215,                0.92337,                0.77492,                0.63321,                0.62356,                 1.0035,             0.00033023,             0.00033023,             0.00033023
                     83,                0.53831,                0.49747,                0.93319,                0.91385,                0.80788,                0.91336,                0.76125,                0.64339,                0.64624,                 1.0029,             0.00031373,             0.00031373,             0.00031373
                     84,                0.48711,                  0.451,                0.89753,                0.89033,                0.81872,                0.89607,                0.75624,                0.63663,                0.66812,                 1.0005,             0.00029723,             0.00029723,             0.00029723
                     85,                0.53025,                0.47181,                0.91556,                0.91206,                 0.7912,                0.90397,                0.75712,                0.63344,                0.67443,                0.99521,             0.00028072,             0.00028072,             0.00028072
                     86,                0.51098,                0.44751,                0.89817,                0.89388,                0.83006,                0.90606,                0.76094,                0.63767,                0.63158,                0.99425,             0.00026422,             0.00026422,             0.00026422
                     87,                0.50054,                0.45399,                0.93452,                0.91849,                0.82378,                0.91902,                0.76262,                0.63834,                0.59921,                0.99102,             0.00024772,             0.00024772,             0.00024772
                     88,                0.50674,                0.46897,                0.90938,                0.89829,                 0.8567,                0.92255,                0.77059,                0.63709,                 0.5902,                0.98555,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.5164,                0.44399,                0.91378,                0.91689,                0.87475,                0.93029,                0.77567,                0.63659,                0.58401,                0.98145,             0.00021471,             0.00021471,             0.00021471
                     90,                0.51359,                0.44956,                0.94692,                0.91331,                0.84209,                0.92271,                0.76851,                0.63252,                 0.6113,                0.98615,             0.00019821,             0.00019821,             0.00019821
                     91,                0.41932,                0.37761,                0.86756,                0.88452,                0.83434,                0.92354,                0.76344,                 0.6382,                0.63827,                0.98311,              0.0001817,              0.0001817,              0.0001817
                     92,                0.42847,                0.38355,                 0.8502,                0.84125,                0.87879,                0.92061,                0.76944,                0.63342,                0.65158,                0.97042,              0.0001652,              0.0001652,              0.0001652
                     93,                0.42532,                0.39442,                0.84649,                 0.8491,                0.89697,                0.92029,                0.77636,                0.62273,                0.64288,                0.96785,              0.0001487,              0.0001487,              0.0001487
                     94,                0.41634,                0.40002,                0.85571,                0.86533,                0.85668,                0.91551,                0.78571,                0.60582,                0.60164,                0.96719,             0.00013219,             0.00013219,             0.00013219
                     95,                0.41965,                0.36302,                 0.8367,                0.87273,                0.86914,                0.91858,                0.78898,                0.59661,                0.58608,                  0.966,             0.00011569,             0.00011569,             0.00011569
                     96,                 0.4174,                0.36009,                0.86319,                0.84172,                0.91746,                0.92533,                0.78961,                0.59836,                 0.5762,                0.96539,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.40419,                0.34915,                0.84992,                0.92272,                0.84343,                 0.9277,                 0.7869,                0.60236,                0.57613,                0.96473,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.41162,                0.35027,                0.85047,                0.88822,                0.88586,                0.92883,                0.78574,                0.60457,                0.56949,                 0.9638,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.39935,                 0.3545,                0.85702,                0.88996,                0.90207,                0.93016,                0.78806,                0.60231,                0.57091,                0.96128,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.39315,                0.33705,                0.84649,                0.90516,                0.90347,                0.93251,                0.78808,                0.60478,                0.57931,                0.96428,             3.3173e-05,             3.3173e-05,             3.3173e-05
