                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0955,                 3.3662,                 1.2743,                0.00481,                0.85051,                0.39601,                 0.3226,                0.63684,                 3.3243,                0.96245,             0.00021671,             0.00021671,             0.00021671
                      2,                 0.9245,                 2.0848,                 1.1029,                0.00512,                0.87273,                0.56426,                0.45651,                0.65911,                 3.1732,                0.97785,             0.00044563,             0.00044563,             0.00044563
                      3,                0.93758,                 2.0115,                 1.1378,                0.89948,                0.28182,                0.63399,                 0.5014,                 0.8287,                 2.8721,                   1.13,             0.00066994,             0.00066994,             0.00066994
                      4,                0.97497,                 1.8219,                 1.1251,                0.60784,                0.37279,                0.42815,                0.28991,                0.95211,                 2.8876,                 1.2113,             0.00088962,             0.00088962,             0.00088962
                      5,                0.96355,                 1.7298,                 1.1388,                0.76451,                0.51919,                0.60175,                0.43089,                 1.0406,                 2.6612,                 1.2883,              0.0011047,              0.0011047,              0.0011047
                      6,                 1.0596,                 1.8091,                  1.229,                0.32392,                0.53434,                0.31919,                0.22465,                 1.1606,                 2.9789,                 1.3263,              0.0013151,              0.0013151,              0.0013151
                      7,                 1.0754,                 1.7478,                 1.1702,                0.57549,                0.40202,                0.42649,                0.26189,                 1.3083,                 3.0203,                 1.4104,              0.0015209,              0.0015209,              0.0015209
                      8,                 1.0191,                 1.7177,                 1.1146,                0.77815,                0.21818,                0.33459,                0.22018,                 1.2422,                 3.1559,                 1.3326,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0205,                 1.6234,                  1.193,                0.62596,                0.63905,                0.65474,                0.48423,                0.99024,                 2.1258,                 1.2431,               0.001535,               0.001535,               0.001535
                     10,                0.94549,                 1.4476,                 1.1028,                0.74711,                0.56626,                0.65956,                0.49927,                0.97541,                 2.1629,                  1.171,              0.0015185,              0.0015185,              0.0015185
                     11,                0.96546,                 1.4847,                  1.154,                0.55075,                0.70808,                0.63871,                0.43719,                 1.0438,                  2.782,                 1.2515,               0.001502,               0.001502,               0.001502
                     12,                0.96925,                 1.4278,                  1.145,                0.71915,                0.64828,                0.67523,                 0.5029,                 1.0478,                 1.7107,                 1.2415,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0372,                 1.3904,                 1.1642,                0.76844,                0.69899,                0.76007,                0.57654,                0.98519,                 1.6155,                 1.2321,               0.001469,               0.001469,               0.001469
                     14,                0.95533,                 1.2295,                 1.1079,                0.65887,                0.58804,                0.65205,                0.49709,                0.97536,                 1.7829,                 1.1895,              0.0014525,              0.0014525,              0.0014525
                     15,                 0.9699,                 1.2884,                 1.1454,                 0.7463,                0.64392,                0.73013,                0.55783,                0.92947,                 1.6318,                 1.1757,               0.001436,               0.001436,               0.001436
                     16,                 1.0139,                 1.2848,                 1.2246,                0.84904,                0.73583,                0.83037,                0.63809,                0.85747,                 1.3049,                 1.1152,              0.0014195,              0.0014195,              0.0014195
                     17,                0.86983,                 1.1141,                 1.0597,                0.87401,                0.70833,                0.78401,                0.58199,                0.86819,                 1.4235,                 1.1213,              0.0014029,              0.0014029,              0.0014029
                     18,                0.94825,                  1.171,                 1.1624,                0.83617,                0.61528,                0.74402,                0.58503,                0.85071,                 1.5023,                 1.1049,              0.0013864,              0.0013864,              0.0013864
                     19,                0.89029,                 1.1738,                 1.1039,                0.86191,                0.69012,                0.76031,                0.62168,                0.80488,                  1.278,                 1.0987,              0.0013699,              0.0013699,              0.0013699
                     20,                0.84901,                 1.1052,                 1.0853,                0.92116,                0.61608,                0.74131,                0.59246,                0.84979,                 1.2681,                 1.1031,              0.0013534,              0.0013534,              0.0013534
                     21,                0.85882,                  1.047,                 1.0765,                0.83559,                0.72792,                0.82028,                0.64793,                0.86537,                 1.2257,                 1.1304,              0.0013369,              0.0013369,              0.0013369
                     22,                0.78424,                 1.0019,                 1.0561,                0.81844,                0.66785,                0.78711,                0.62949,                0.81156,                  1.255,                 1.1044,              0.0013204,              0.0013204,              0.0013204
                     23,                0.80782,                0.94626,                 1.0398,                 0.8413,                0.71818,                0.79957,                 0.6385,                0.81134,                  1.194,                 1.0837,              0.0013039,              0.0013039,              0.0013039
                     24,                0.78797,                0.93705,                 1.0507,                 0.8955,                0.73298,                 0.8037,                0.63345,                0.85298,                 1.2102,                 1.1362,              0.0012874,              0.0012874,              0.0012874
                     25,                0.81984,                 1.0276,                  1.045,                0.81844,                0.76768,                0.82137,                0.64615,                0.77171,                 1.1135,                 1.0632,              0.0012709,              0.0012709,              0.0012709
                     26,                0.80382,                0.99469,                 1.0755,                 0.7873,                0.71748,                0.75205,                0.58069,                0.81951,                 1.3123,                 1.1091,              0.0012544,              0.0012544,              0.0012544
                     27,                0.86087,                0.98671,                 1.0838,                0.81308,                0.64763,                0.76705,                0.60361,                  0.791,                 1.2492,                 1.0911,              0.0012379,              0.0012379,              0.0012379
                     28,                 0.7861,                0.95911,                 1.0603,                0.90929,                 0.7244,                0.84916,                0.67178,                0.74151,                0.94594,                  1.048,              0.0012214,              0.0012214,              0.0012214
                     29,                0.80672,                0.93013,                 1.0631,                0.86675,                0.75563,                0.81749,                0.65922,                0.77952,                 1.0188,                 1.1036,              0.0012049,              0.0012049,              0.0012049
                     30,                0.78869,                0.85294,                 1.0342,                0.86772,                 0.7899,                0.84529,                0.67441,                0.76942,                 1.0028,                 1.0862,              0.0011884,              0.0011884,              0.0011884
                     31,                0.80345,                0.90283,                 1.0265,                0.86731,                0.79272,                0.86776,                0.65256,                  0.838,                0.97341,                 1.1524,              0.0011719,              0.0011719,              0.0011719
                     32,                0.78076,                0.90033,                 1.0362,                0.85468,                0.72927,                0.79864,                0.62435,                 0.8141,                 1.0962,                 1.0894,              0.0011554,              0.0011554,              0.0011554
                     33,                0.85596,                  1.063,                 1.1295,                0.85643,                0.73131,                0.79779,                0.64529,                0.77493,                 1.0308,                 1.0877,              0.0011389,              0.0011389,              0.0011389
                     34,                 0.7466,                0.86196,                 1.0317,                0.77834,                0.72283,                0.79897,                0.62276,                0.89373,                 1.4344,                 1.1573,              0.0011224,              0.0011224,              0.0011224
                     35,                0.72687,                0.82826,                0.99504,                 0.8674,                0.68581,                0.78339,                0.63137,                0.84182,                 1.1556,                 1.1245,              0.0011059,              0.0011059,              0.0011059
                     36,                0.75528,                0.80391,                 1.0458,                0.95892,                 0.6955,                 0.8353,                 0.6766,                0.78823,                0.94358,                 1.0753,              0.0010894,              0.0010894,              0.0010894
                     37,                0.72305,                0.79555,                0.98149,                0.87395,                0.73898,                0.81675,                0.67202,                0.70506,                0.99878,                 1.0368,              0.0010729,              0.0010729,              0.0010729
                     38,                0.75142,                0.80888,                 1.0548,                0.86174,                0.69267,                0.78664,                0.62263,                0.76923,                  1.083,                 1.0518,              0.0010564,              0.0010564,              0.0010564
                     39,                0.80075,                0.80213,                 1.0313,                0.84729,                0.74978,                0.82156,                0.67031,                 0.7726,                0.95203,                 1.0478,              0.0010399,              0.0010399,              0.0010399
                     40,                  0.767,                 0.7536,                 1.0267,                0.85511,                 0.7604,                 0.8393,                0.67908,                0.74121,                 0.9223,                 1.0409,              0.0010234,              0.0010234,              0.0010234
                     41,                0.73144,                0.77943,                 1.0393,                0.86395,                0.75429,                 0.8139,                0.66462,                0.75329,                0.93191,                 1.0458,              0.0010069,              0.0010069,              0.0010069
                     42,                0.76076,                0.78378,                 1.0778,                 0.8527,                0.79958,                0.85608,                 0.6817,                 0.7724,                0.85925,                 1.0869,             0.00099036,             0.00099036,             0.00099036
                     43,                0.70612,                0.75007,                0.99632,                 0.8482,                0.77172,                0.86389,                0.68159,                0.77952,                 0.8347,                 1.0821,             0.00097386,             0.00097386,             0.00097386
                     44,                0.75483,                0.73222,                 1.0325,                0.88687,                 0.8101,                0.88097,                0.72206,                0.70113,                0.77484,                 1.0531,             0.00095736,             0.00095736,             0.00095736
                     45,                0.67146,                0.68511,                 1.0051,                 0.8575,                 0.8413,                0.89573,                0.71296,                0.71761,                0.77449,                 1.0419,             0.00094085,             0.00094085,             0.00094085
                     46,                0.72495,                0.75169,                 1.0381,                0.88983,                0.75657,                0.86549,                0.70258,                0.73531,                 0.8668,                 1.0747,             0.00092435,             0.00092435,             0.00092435
                     47,                0.76188,                0.76299,                 1.0353,                0.89624,                0.74587,                0.86496,                0.69765,                  0.726,                0.87203,                 1.0675,             0.00090785,             0.00090785,             0.00090785
                     48,                0.66123,                0.64851,                0.97325,                0.90323,                0.77818,                0.88485,                0.71135,                0.71696,                0.82966,                 1.0553,             0.00089134,             0.00089134,             0.00089134
