                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1985,                  2.535,                  1.188,                0.91855,                  0.179,                0.49689,                0.31588,                 1.1181,                 2.8083,                 1.0735,             0.00036472,             0.00036472,             0.00036472
                      2,                 1.1032,                 1.4801,                 1.1147,                0.53513,                0.69572,                0.64689,                0.35956,                 1.2572,                 1.6142,                 1.1945,             0.00072778,             0.00072778,             0.00072778
                      3,                  1.158,                 1.4414,                 1.1564,                0.55567,                0.70174,                0.63623,                0.33328,                 1.2171,                 1.9751,                 1.2292,              0.0010835,              0.0010835,              0.0010835
                      4,                 1.1161,                  1.331,                 1.1353,                0.75682,                0.64938,                0.75805,                0.42754,                 1.2435,                 1.5149,                 1.2311,               0.001078,               0.001078,               0.001078
                      5,                 1.1027,                 1.2244,                 1.1278,                0.70976,                0.74006,                0.71671,                0.45919,                 1.1914,                 1.2379,                 1.1737,               0.001067,               0.001067,               0.001067
                      6,                  1.064,                 1.1778,                 1.1178,                0.83652,                0.55236,                0.71253,                0.42471,                 1.0983,                 1.0758,                 1.1263,               0.001056,               0.001056,               0.001056
                      7,                 1.0295,                 1.0335,                 1.0935,                0.86429,                0.55596,                  0.641,                0.41872,                 1.1164,                 1.0242,                  1.151,               0.001045,               0.001045,               0.001045
                      8,                 1.0171,                 1.0069,                 1.0901,                0.70352,                  0.648,                0.71665,                0.44096,                   1.11,                0.95734,                 1.1821,               0.001034,               0.001034,               0.001034
                      9,                0.98278,                0.97376,                 1.0745,                0.84478,                 0.6036,                0.75059,                 0.4389,                 1.1031,                0.94124,                 1.1606,               0.001023,               0.001023,               0.001023
                     10,                0.97467,                0.92537,                 1.0693,                0.73495,                0.76035,                0.78022,                0.49151,                 1.0984,                0.92246,                 1.1139,               0.001012,               0.001012,               0.001012
                     11,                0.96841,                0.88755,                 1.0651,                0.68426,                0.65837,                0.74567,                0.46215,                 1.0085,                0.91426,                 1.0822,               0.001001,               0.001001,               0.001001
                     12,                0.95818,                0.85264,                 1.0545,                   0.87,                0.71262,                0.79475,                0.51892,                 1.0082,                0.83238,                 1.0758,             0.00099001,             0.00099001,             0.00099001
                     13,                0.95885,                0.86294,                 1.0644,                0.73393,                0.67855,                0.76312,                0.47596,                 1.0583,                0.88139,                 1.1189,             0.00097901,             0.00097901,             0.00097901
                     14,                0.90913,                 0.8103,                 1.0387,                0.92304,                0.74866,                0.86245,                0.53565,                 1.0622,                0.87568,                  1.131,             0.00096801,             0.00096801,             0.00096801
                     15,                0.92572,                0.80676,                 1.0521,                 0.7352,                0.69195,                0.70206,                0.44427,                  1.108,                0.89509,                 1.1648,             0.00095702,             0.00095702,             0.00095702
                     16,                0.91514,                0.79454,                 1.0376,                0.82862,                0.70081,                0.79694,                0.50562,                 1.0748,                0.83161,                 1.1126,             0.00094602,             0.00094602,             0.00094602
                     17,                0.93352,                0.79039,                 1.0417,                0.89141,                 0.7801,                0.86394,                0.53002,                0.99475,                0.82985,                 1.0846,             0.00093502,             0.00093502,             0.00093502
                     18,                0.86622,                0.74259,                 1.0141,                0.81427,                0.72992,                 0.8178,                0.53479,                 1.0229,                0.81353,                 1.1027,             0.00092402,             0.00092402,             0.00092402
                     19,                0.86465,                0.71769,                 1.0095,                0.80991,                0.82228,                0.83404,                0.54473,                 1.0207,                0.78561,                 1.0832,             0.00091302,             0.00091302,             0.00091302
                     20,                0.86711,                0.72009,                 1.0187,                0.84354,                0.72463,                0.84257,                0.53273,                 1.0163,                0.83787,                 1.1156,             0.00090202,             0.00090202,             0.00090202
                     21,                0.84733,                0.69843,                 1.0032,                0.63407,                0.71346,                0.79175,                0.50661,                  1.029,                0.85492,                 1.0985,             0.00089102,             0.00089102,             0.00089102
                     22,                0.82042,                0.67987,                0.99811,                0.93626,                0.66158,                 0.8094,                0.54967,                 1.0243,                0.81242,                 1.0965,             0.00088002,             0.00088002,             0.00088002
                     23,                0.80633,                0.65966,                0.99154,                0.77903,                0.74887,                0.77549,                0.52677,                 1.0155,                0.80034,                 1.1019,             0.00086902,             0.00086902,             0.00086902
                     24,                0.82499,                0.67552,                 1.0008,                0.80817,                0.70797,                0.79313,                0.50441,                 0.9613,                0.74953,                 1.0858,             0.00085803,             0.00085803,             0.00085803
                     25,                0.81355,                0.67319,                0.99265,                0.85898,                0.67541,                0.76951,                0.51925,                0.97364,                0.74682,                 1.0822,             0.00084703,             0.00084703,             0.00084703
                     26,                0.81008,                0.64717,                0.99303,                0.91644,                0.75763,                0.86143,                0.58842,                0.96183,                0.75353,                 1.0786,             0.00083603,             0.00083603,             0.00083603
                     27,                0.81271,                0.65411,                0.99493,                0.80966,                0.80302,                0.83431,                0.56199,                0.97636,                0.77149,                 1.0623,             0.00082503,             0.00082503,             0.00082503
                     28,                0.77287,                0.61699,                0.97586,                0.84837,                0.73997,                0.85931,                0.56059,                 1.0001,                0.81678,                 1.0942,             0.00081403,             0.00081403,             0.00081403
