                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0161,                 2.3563,                 1.1554,                0.97984,                0.09426,                0.50062,                0.34381,                0.94196,                 3.3593,                 1.1276,             0.00046717,             0.00046717,             0.00046717
                      2,                0.95138,                 1.5784,                 1.1009,                0.32044,                0.30649,                0.22653,                0.14414,                 1.2466,                 3.1374,                 1.4738,             0.00092482,             0.00092482,             0.00092482
                      3,                0.97011,                 1.4547,                 1.1284,                0.69726,                 0.5417,                0.55717,                 0.3692,                 1.1164,                 2.4232,                  1.317,              0.0013636,              0.0013636,              0.0013636
                      4,                0.95164,                 1.3017,                 1.1333,                  0.618,                0.65851,                  0.716,                0.48415,                 1.0862,                 2.1058,                 1.1965,              0.0013441,              0.0013441,              0.0013441
                      5,                0.91987,                 1.1917,                 1.1099,                0.78864,                0.73758,                0.76902,                0.50031,                0.98411,                 1.7304,                 1.1691,              0.0013158,              0.0013158,              0.0013158
                      6,                0.86928,                 1.0605,                 1.0792,                 0.9103,                0.58831,                0.76322,                 0.5349,                0.99247,                 1.6429,                 1.1846,              0.0012875,              0.0012875,              0.0012875
                      7,                0.85059,                 1.0047,                 1.0618,                 0.7659,                0.65663,                0.71887,                0.51806,                0.94177,                 1.6259,                 1.1491,              0.0012592,              0.0012592,              0.0012592
                      8,                0.84455,                 0.9456,                 1.0621,                0.73357,                0.62635,                0.67936,                0.46483,                 1.0972,                 2.0787,                 1.2118,              0.0012309,              0.0012309,              0.0012309
                      9,                0.77905,                0.87089,                 1.0386,                0.78899,                0.67576,                0.77056,                 0.5456,                0.91654,                 1.2836,                 1.1179,              0.0012026,              0.0012026,              0.0012026
                     10,                0.78174,                0.82387,                 1.0358,                0.85503,                 0.7303,                0.78766,                0.56442,                0.83633,                 1.1122,                 1.0638,              0.0011744,              0.0011744,              0.0011744
                     11,                0.74863,                0.79476,                 1.0215,                0.86914,                0.76972,                0.85427,                0.58302,                0.98057,                 1.0987,                 1.1799,              0.0011461,              0.0011461,              0.0011461
                     12,                0.75138,                0.78007,                 1.0262,                0.87861,                0.71212,                0.79646,                0.57896,                0.85287,                 1.1749,                 1.0592,              0.0011178,              0.0011178,              0.0011178
                     13,                0.74245,                0.75921,                 1.0102,                0.87966,                0.72974,                0.80071,                0.57948,                0.90352,                 1.1641,                 1.1202,              0.0010895,              0.0010895,              0.0010895
                     14,                0.69712,                0.69664,                0.99839,                0.86798,                0.73727,                0.84908,                0.58747,                0.88974,                 1.0176,                  1.098,              0.0010612,              0.0010612,              0.0010612
                     15,                0.67052,                0.65882,                0.98495,                0.86418,                0.71875,                0.80151,                0.58634,                0.85823,                 1.0964,                 1.0913,              0.0010329,              0.0010329,              0.0010329
                     16,                0.67868,                0.67139,                0.98269,                0.80346,                 0.8452,                0.86622,                0.65828,                0.85364,                0.90345,                 1.0816,              0.0010046,              0.0010046,              0.0010046
